epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
19.0,106.0,1847.0,38720.0,1000.0,0.5414185,127.0,127.0,117727930.0,0.009003,3.875,,,
30.0,23.0,3706.0,78720.0,2000.0,0.5396654,59.0,93.0,13302678000.0,0.008003,2.75,,,
50.0,88.0,5602.0,118720.0,3000.0,0.53552306,200.0,128.66667,146429020000.0,0.007003,1.625,,,
78.0,157.0,7499.0,158720.0,4000.0,0.53340447,96.0,120.5,53127094000.0,0.006003,0.5,,,
84.0,186.0,9494.0,198720.0,5000.0,0.5266484,158.0,128.0,25558893000.0,0.005003,0.5,,,
91.0,35.0,11483.0,238720.0,6000.0,0.52251154,200.0,140.0,3041787000.0,0.004003,0.5,,,
97.0,83.0,13283.0,278720.0,7000.0,0.5269894,87.0,132.42857,69307620.0,0.003003,0.5,,,
103.0,51.0,15411.0,318720.0,8000.0,0.5191097,155.0,135.25,395668300.0,0.002003,0.5,,,
109.0,79.0,17487.0,358720.0,9000.0,0.51466805,128.0,134.44444,1198661800.0,0.001003,0.5,,,
118.0,36.0,19407.0,398720.0,10000.0,0.515278,110.0,132.0,12746285000.0,3e-06,0.5,,,
