epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
5.0,14.0,111.0,2720.0,100.0,0.9009009,14.0,14.0,8351.444,0.009903,4.8875,,,
10.0,3.0,268.0,6720.0,200.0,0.74626863,15.0,14.5,6540.2954,0.009803,4.775,,,
15.0,33.0,431.0,10720.0,300.0,0.6960557,22.0,17.0,9982.814,0.009703,4.6625,,,
18.0,36.0,586.0,14720.0,400.0,0.6825939,20.0,17.75,2450.014,0.009603,4.55,,,
22.0,40.0,608.0,18720.0,500.0,0.82236844,31.0,20.4,3207.7815,0.009503,4.4375,,,
26.0,3.0,624.0,22720.0,600.0,0.96153843,14.0,19.333334,7345.6,0.009403,4.325,,,
31.0,10.0,648.0,26720.0,700.0,1.0802469,10.0,18.0,8871.412,0.009303,4.2125,,,
36.0,18.0,668.0,30720.0,800.0,1.1976048,13.0,17.375,44560.61,0.009203,4.1,,,
42.0,11.0,691.0,34720.0,900.0,1.3024602,16.0,17.222221,14290.585,0.009103,3.9875,,,
46.0,10.0,704.0,38720.0,1000.0,1.4204545,10.0,16.5,14137.279,0.009003,3.875,,,
