epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
23.0,103.0,2048.0,38720.0,1000.0,0.48828125,42.0,42.0,1537012.8,0.009003,3.875,,,
28.0,103.0,4183.0,78720.0,2000.0,0.47812575,200.0,121.0,12962503.0,0.008003,2.75,,,
34.0,20.0,6323.0,118720.0,3000.0,0.47445834,139.0,127.0,7871256000.0,0.007003,1.625,,,
41.0,23.0,8372.0,158720.0,4000.0,0.47778308,142.0,130.75,345283700.0,0.006003,0.5,,,
49.0,53.0,10511.0,198720.0,5000.0,0.47569212,78.0,120.2,21247105000.0,0.005003,0.5,,,
56.0,107.0,12605.0,238720.0,6000.0,0.4760016,140.0,123.5,79542760000.0,0.004003,0.5,,,
63.0,102.0,14667.0,278720.0,7000.0,0.47726187,140.0,125.85714,108772640000.0,0.003003,0.5,,,
70.0,52.0,16799.0,318720.0,8000.0,0.47621882,152.0,129.125,144054620000.0,0.002003,0.5,,,
77.0,26.0,18660.0,358720.0,9000.0,0.48231512,149.0,131.33333,164428230000.0,0.001003,0.5,,,
84.0,17.0,20546.0,398720.0,10000.0,0.48671275,143.0,132.5,177720160000.0,3e-06,0.5,,,
