epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
91.0,4.0,109.0,38720.0,1000.0,9.174312,10.0,10.0,27.875704,0.009003,3.875,,,
182.0,4.0,216.0,78720.0,2000.0,9.259259,10.0,10.0,26.410515,0.008003,2.75,,,
273.0,3.0,324.0,118720.0,3000.0,9.259259,11.0,10.333333,36.028442,0.007003,1.625,,,
364.0,4.0,431.0,158720.0,4000.0,9.280743,10.0,10.25,9.04569,0.006003,0.5,,,
455.0,4.0,538.0,198720.0,5000.0,9.29368,10.0,10.2,12.551282,0.005003,0.5,,,
546.0,3.0,646.0,238720.0,6000.0,9.287926,10.0,10.166667,22.912361,0.004003,0.5,,,
637.0,3.0,754.0,278720.0,7000.0,9.283819,10.0,10.142858,22.33963,0.003003,0.5,,,
728.0,2.0,862.0,318720.0,8000.0,9.280743,10.0,10.125,14.307761,0.002003,0.5,,,
819.0,1.0,970.0,358720.0,9000.0,9.278351,10.0,10.111111,10.667185,0.001003,0.5,,,
909.0,11.0,1077.0,398720.0,10000.0,9.285051,10.0,10.1,8.65211,3e-06,0.5,,,
