epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
90.0,10.0,111.0,38720.0,1000.0,9.009009,,,23.30364,0.009003,3.875,,,
181.0,9.0,221.0,78720.0,2000.0,9.049774,,,25.42763,0.008003,2.75,,,
272.0,10.0,331.0,118720.0,3000.0,9.063444,9.0,9.0,35.316456,0.007003,1.625,,,
363.0,9.0,441.0,158720.0,4000.0,9.070294,9.0,9.0,9.55996,0.006003,0.5,,,
454.0,8.0,551.0,198720.0,5000.0,9.07441,9.0,9.0,26.110546,0.005003,0.5,,,
545.0,7.0,661.0,238720.0,6000.0,9.077156,9.0,9.0,13.529306,0.004003,0.5,,,
636.0,6.0,772.0,278720.0,7000.0,9.067357,9.0,9.0,4.985438,0.003003,0.5,,,
727.0,5.0,882.0,318720.0,8000.0,9.070294,9.0,9.0,10.3390875,0.002003,0.5,,,
818.0,4.0,992.0,358720.0,9000.0,9.07258,9.0,9.0,12.307325,0.001003,0.5,,,
909.0,3.0,1094.0,398720.0,10000.0,9.140768,9.0,9.0,11.772696,3e-06,0.5,,,
