epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,1.0,,,
91.0,2.0,112.0,38720.0,1000.0,8.928572,8.0,8.0,115.86186,0.009003,0.7625,,,
182.0,4.0,225.0,78720.0,2000.0,8.888889,10.0,9.0,138.81247,0.008003,0.525,,,
273.0,11.0,338.0,118720.0,3000.0,8.87574,11.0,9.666667,54.783047,0.007003,0.2875,,,
365.0,2.0,451.0,158720.0,4000.0,8.86918,8.0,9.25,31.034147,0.006003,0.05,,,
456.0,2.0,563.0,198720.0,5000.0,8.880995,10.0,9.4,18.43087,0.005003,0.05,,,
547.0,1.0,677.0,238720.0,6000.0,8.862629,10.0,9.5,20.845722,0.004003,0.05,,,
637.0,11.0,788.0,278720.0,7000.0,8.883248,10.0,9.571428,16.285614,0.003003,0.05,,,
728.0,10.0,900.0,318720.0,8000.0,8.888889,10.0,9.625,10.81761,0.002003,0.05,,,
819.0,9.0,1011.0,358720.0,9000.0,8.902077,10.0,9.666667,20.668804,0.001003,0.05,,,
910.0,8.0,1111.0,398720.0,10000.0,9.0009,10.0,9.7,18.657436,3e-06,0.05,,,
