epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,1.0,,,
91.0,3.0,108.0,38720.0,1000.0,9.259259,11.0,11.0,29.891676,0.009003,0.7625,,,
182.0,6.0,216.0,78720.0,2000.0,9.259259,9.0,10.0,41.698345,0.008003,0.525,,,
273.0,5.0,324.0,118720.0,3000.0,9.259259,11.0,10.333333,15.3307,0.007003,0.2875,,,
364.0,4.0,433.0,158720.0,4000.0,9.237875,11.0,10.5,13.720199,0.006003,0.05,,,
455.0,3.0,540.0,198720.0,5000.0,9.259259,11.0,10.6,28.505798,0.005003,0.05,,,
546.0,2.0,649.0,238720.0,6000.0,9.244992,11.0,10.666667,12.707965,0.004003,0.05,,,
637.0,3.0,757.0,278720.0,7000.0,9.247027,9.0,10.428572,15.297762,0.003003,0.05,,,
728.0,4.0,865.0,318720.0,8000.0,9.248555,9.0,10.25,28.14058,0.002003,0.05,,,
819.0,3.0,972.0,358720.0,9000.0,9.259259,9.0,10.111111,15.8185,0.001003,0.05,,,
910.0,2.0,1080.0,398720.0,10000.0,9.259259,9.0,10.0,12.806877,3e-06,0.05,,,
